iter	Passed	Remaining
861	111272	2470448
862	111410	2470527
863	111540	2470424
864	111687	2470675
865	111818	2470590
866	111947	2470452
867	112086	2470557
868	112217	2470470
869	112345	2470308
870	112467	2470021
871	112590	2469751
872	112712	2469485
873	112833	2469158
874	112965	2469110
875	113086	2468801
876	113204	2468427
877	113336	2468362
878	113485	2468667
879	113633	2468954
880	113754	2468641
881	113876	2468362
882	114003	2468191
883	114123	2467858
884	114244	2467550
885	114363	2467214
886	114481	2466845
887	114591	2466305
888	114718	2466126
889	114847	2465994
890	115010	2466586
891	115130	2466279
892	115244	2465826
893	115360	2465417
894	115465	2464763
895	115595	2464671
896	115728	2464615
897	115875	2464873
898	116001	2464685
899	116130	2464547
900	116262	2464489
901	116399	2464522
902	116522	2464265
903	116645	2464005
904	116758	2463532
905	116870	2463053
906	116987	2462679
907	117092	2462046
908	117213	2461747
909	117333	2461430
910	117459	2461226
911	117571	2460752
912	117675	2460093
913	117806	2460022
914	117922	2459614
915	118044	2459343
916	118150	2458734
917	118278	2458595
918	118424	2458812
919	118563	2458900
920	118696	2458851
921	118830	2458829
922	118935	2458210
923	119070	2458204
924	119190	2457911
925	119319	2457771
926	119437	2457414
927	119565	2457287
928	119681	2456887
929	119813	2456814
930	119936	2456578
931	120060	2456336
932	120193	2456298
933	120301	2455757
934	120427	2455564
935	120548	2455271
936	120672	2455057
937	120800	2454901
938	120910	2454398
939	121035	2454192
940	121168	2454135
941	121296	2454002
942	121410	2453581
943	121542	2453513
944	121665	2453263
945	121798	2453214
946	121916	2452884
947	122032	2452484
948	122168	2452503
949	122261	2451667
950	122377	2451278
951	122503	2451108
952	122628	2450897
953	122770	2451038
954	122888	2450700
955	123017	2450575
956	123145	2450424
957	123272	2450266
958	123384	2449796
959	123506	2449541
960	123625	2449219
961	123754	2449109
962	123875	2448827
963	123994	2448495
964	124129	2448493
965	124265	2448527
966	124378	2448077
967	124482	2447463
968	124599	2447119
969	124719	2446817
970	124830	2446352
971	124954	2446131
972	125079	2445927
973	125187	2445396
974	125311	2445181
